clear_fraction,lat_cloud,lon_cloud,.geo_cloud,lat_round,lon_round,lat_loss,lon_loss,loss_fraction,.geo_loss,quadrant
0.26767677,-15.680093284306247,-68.44713307348694,,-15.68,-68.447,-15.680093284306247,-68.44713307348694,0.0,,poor_visibility__no_loss
0.46969697,-15.680093284306247,-68.43814992064574,,-15.68,-68.438,-15.680093284306247,-68.43814992064574,0.84782606,,good_visibility__has_loss
0.46717173,-15.680093284306247,-68.42916676780456,,-15.68,-68.429,-15.680093284306247,-68.42916676780456,0.7910448,,good_visibility__has_loss
0.44191918,-15.680093284306247,-68.42018361496336,,-15.68,-68.42,-15.680093284306247,-68.42018361496336,0.0,,good_visibility__no_loss
0.4368687,-15.680093284306247,-68.40221730928097,,-15.68,-68.402,-15.680093284306247,-68.40221730928097,0.0,,good_visibility__no_loss
0.37121212,-15.680093284306247,-68.39323415643977,,-15.68,-68.393,-15.680093284306247,-68.39323415643977,0.0,,good_visibility__no_loss
0.21717171,-15.680093284306247,-68.38425100359858,,-15.68,-68.384,-15.680093284306247,-68.38425100359858,0.0,,poor_visibility__no_loss
0.15404041,-15.680093284306247,-68.37526785075738,,-15.68,-68.375,-15.680093284306247,-68.37526785075738,0.0,,poor_visibility__no_loss
0.15656565,-15.680093284306247,-68.36628469791619,,-15.68,-68.366,-15.680093284306247,-68.36628469791619,0.0,,poor_visibility__no_loss
0.2020202,-15.680093284306247,-68.35730154507499,,-15.68,-68.357,-15.680093284306247,-68.35730154507499,0.0,,poor_visibility__no_loss
0.3459596,-15.680093284306247,-68.3483183922338,,-15.68,-68.348,-15.680093284306247,-68.3483183922338,0.0,,good_visibility__no_loss
0.46717173,-15.680093284306247,-68.3393352393926,,-15.68,-68.339,-15.680093284306247,-68.3393352393926,0.0,,good_visibility__no_loss
0.44949496,-15.680093284306247,-68.3303520865514,,-15.68,-68.33,-15.680093284306247,-68.3303520865514,0.0,,good_visibility__no_loss
0.4227848,-15.689076437147444,-68.44713307348694,,-15.689,-68.447,-15.689076437147444,-68.44713307348694,0.93333334,,good_visibility__has_loss
0.3164557,-15.689076437147444,-68.43814992064574,,-15.689,-68.438,-15.689076437147444,-68.43814992064574,0.86904764,,poor_visibility__has_loss
