lat,lon,loss_fraction,.geo
-14.53024972063326,-68.3213689337102,0.0,
-14.53024972063326,-68.31238578086902,0.0,
-14.53024972063326,-68.29441947518663,0.0,
-14.53024972063326,-68.28543632234543,0.0,
-14.53024972063326,-68.27645316950424,0.0,
-14.53024972063326,-68.26747001666304,0.0,
-14.53024972063326,-68.25848686382184,0.0,
-14.53024972063326,-68.24950371098065,0.0,
-14.53024972063326,-68.24052055813945,0.0,
-14.53024972063326,-68.23153740529825,0.0,
-14.53024972063326,-68.20458794677467,0.0,
-14.53024972063326,-68.18662164109229,0.0,
-14.53024972063326,-68.17763848825109,0.0,
-14.53024972063326,-68.1686553354099,0.0,
-14.53024972063326,-68.1596721825687,0.33333334,
-14.53024972063326,-68.10577326552152,1.0,
-14.53024972063326,-68.08780695983914,0.0,
-14.53024972063326,-68.07882380699795,1.0,
-14.53024972063326,-68.06085750131555,0.0,
-14.53024972063326,-68.05187434847436,0.0,
-14.53024972063326,-68.04289119563316,0.0,
-14.53024972063326,-68.02492488995077,0.0,
-14.53024972063326,-68.00695858426838,0.0,
-14.53024972063326,-67.99797543142718,0.375,
-14.53024972063326,-67.98899227858598,0.0,
-14.53024972063326,-67.98000912574479,0.0,
-14.53024972063326,-67.9710259729036,0.8604651,
-14.53024972063326,-67.96204282006241,0.1,
-14.53024972063326,-67.94407651438001,0.22608696,
-14.53024972063326,-67.93509336153882,0.2278481,
-14.53024972063326,-67.88119444449164,0.0,
-14.53024972063326,-67.87221129165044,0.19210799,
-14.53024972063326,-67.86322813880925,0.106617644,
-14.53024972063326,-67.85424498596807,0.105367795,
-14.53024972063326,-67.84526183312687,0.10164835,
-14.53024972063326,-67.82729552744448,0.0,
-14.53024972063326,-67.81831237460328,0.0,
-14.53024972063326,-67.80932922176208,0.0,
-14.53024972063326,-67.79136291607969,1.0,
-14.53024972063326,-67.7733966103973,0.06666667,
-14.53024972063326,-67.7644134575561,0.09090909,
-14.53024972063326,-67.7554303047149,0.5466667,
-14.539232873474456,-68.3213689337102,0.0,
-14.539232873474456,-68.31238578086902,0.0,
-14.539232873474456,-68.30340262802783,0.0,
-14.539232873474456,-68.29441947518663,0.0,
-14.539232873474456,-68.28543632234543,0.0,
-14.539232873474456,-68.27645316950424,0.0,
-14.539232873474456,-68.26747001666304,0.0,
-14.539232873474456,-68.24950371098065,0.0,
-14.539232873474456,-68.24052055813945,0.0,
-14.539232873474456,-68.22255425245706,0.0,
-14.539232873474456,-68.21357109961586,0.0,
-14.539232873474456,-68.20458794677467,1.0,
-14.539232873474456,-68.19560479393348,0.14285715,
-14.539232873474456,-68.17763848825109,0.39130434,
-14.539232873474456,-68.1686553354099,0.0,
-14.539232873474456,-68.1417058768863,0.0,
-14.539232873474456,-68.10577326552152,0.9892473,
-14.539232873474456,-68.08780695983914,0.0,
-14.539232873474456,-68.07882380699795,0.0,
-14.539232873474456,-68.06984065415675,0.0,
-14.539232873474456,-68.06085750131555,0.0,
-14.539232873474456,-68.05187434847436,0.0,
-14.539232873474456,-68.04289119563316,0.0,
-14.539232873474456,-67.99797543142718,0.9512195,
-14.539232873474456,-67.98899227858598,0.95109105,
-14.539232873474456,-67.98000912574479,0.91843975,
-14.539232873474456,-67.9710259729036,0.22553192,
-14.539232873474456,-67.96204282006241,1.0,
-14.539232873474456,-67.95305966722121,0.0,
-14.539232873474456,-67.94407651438001,0.4755102,
-14.539232873474456,-67.90814390301523,0.0,
-14.539232873474456,-67.88119444449164,0.75,
-14.539232873474456,-67.87221129165044,0.44,
-14.539232873474456,-67.85424498596807,0.51941746,
-14.539232873474456,-67.84526183312687,0.11941659,
-14.539232873474456,-67.83627868028567,0.15845071,
-14.539232873474456,-67.82729552744448,0.0,
-14.539232873474456,-67.81831237460328,0.0,
-14.539232873474456,-67.80932922176208,0.0,
-14.539232873474456,-67.80034606892089,0.0,
-14.539232873474456,-67.79136291607969,0.0,
-14.539232873474456,-67.7644134575561,0.0,
-14.539232873474456,-67.7554303047149,0.37780333,
-14.548216026315652,-68.3213689337102,0.0,
-14.548216026315652,-68.31238578086902,0.0,
-14.548216026315652,-68.30340262802783,0.0,
-14.548216026315652,-68.29441947518663,0.0,
-14.548216026315652,-68.28543632234543,0.0,
-14.548216026315652,-68.27645316950424,0.0,
-14.548216026315652,-68.26747001666304,0.0,
-14.548216026315652,-68.24950371098065,0.0,
-14.548216026315652,-68.24052055813945,0.0,
-14.548216026315652,-68.22255425245706,0.0,
-14.548216026315652,-68.21357109961586,0.0,
-14.548216026315652,-68.20458794677467,0.0,
-14.548216026315652,-68.19560479393348,0.0,
-14.548216026315652,-68.1686553354099,0.6666667,
-14.548216026315652,-68.1596721825687,0.0,
-14.548216026315652,-68.1506890297275,1.0,
-14.548216026315652,-68.1417058768863,0.71428573,
-14.548216026315652,-68.13272272404511,0.0,
-14.548216026315652,-68.08780695983914,0.0,
-14.548216026315652,-68.06984065415675,0.0,
-14.548216026315652,-68.04289119563316,1.0,
-14.548216026315652,-68.03390804279196,0.75,
-14.548216026315652,-68.02492488995077,0.0,
-14.548216026315652,-68.01594173710957,0.0,
-14.548216026315652,-68.00695858426838,0.0,
-14.548216026315652,-67.98899227858598,0.8833763,
-14.548216026315652,-67.98000912574479,0.87447697,
-14.548216026315652,-67.9710259729036,0.71311474,
-14.548216026315652,-67.95305966722121,0.0,
-14.548216026315652,-67.94407651438001,0.4532374,
-14.548216026315652,-67.93509336153882,0.0,
-14.548216026315652,-67.91712705585643,0.0,
-14.548216026315652,-67.89916075017403,0.7692308,
-14.548216026315652,-67.88119444449164,0.9677419,
-14.548216026315652,-67.87221129165044,0.0,
-14.548216026315652,-67.85424498596807,1.0,
-14.548216026315652,-67.83627868028567,0.17857143,
-14.548216026315652,-67.82729552744448,0.0,
-14.548216026315652,-67.79136291607969,0.0,
-14.548216026315652,-67.7823797632385,0.05882353,
-14.548216026315652,-67.7733966103973,0.0,
-14.548216026315652,-67.7644134575561,0.0,
-14.548216026315652,-67.7554303047149,0.55877036,
-14.557199179156846,-68.3213689337102,0.0,
-14.557199179156846,-68.31238578086902,0.0,
-14.557199179156846,-68.28543632234543,0.23076923,
-14.557199179156846,-68.27645316950424,0.0,
-14.557199179156846,-68.26747001666304,0.0,
-14.557199179156846,-68.24950371098065,0.0,
-14.557199179156846,-68.24052055813945,0.0,
-14.557199179156846,-68.23153740529825,0.0,
-14.557199179156846,-68.22255425245706,0.0,
-14.557199179156846,-68.21357109961586,0.0,
-14.557199179156846,-68.18662164109229,0.0,
-14.557199179156846,-68.1596721825687,0.20816326,
-14.557199179156846,-68.13272272404511,0.0,
-14.557199179156846,-68.09679011268032,0.9166667,
-14.557199179156846,-68.06984065415675,0.0,
-14.557199179156846,-68.04289119563316,1.0,
-14.557199179156846,-68.03390804279196,0.8965517,
-14.557199179156846,-68.02492488995077,0.0,
-14.557199179156846,-68.01594173710957,0.5714286,
-14.557199179156846,-67.98899227858598,0.9183078,
-14.557199179156846,-67.98000912574479,0.9171375,
-14.557199179156846,-67.9710259729036,0.93333334,
-14.557199179156846,-67.96204282006241,0.0,
-14.557199179156846,-67.95305966722121,0.9285714,
-14.557199179156846,-67.94407651438001,0.8450704,
-14.557199179156846,-67.93509336153882,0.0,
-14.557199179156846,-67.90814390301523,0.0,
-14.557199179156846,-67.82729552744448,0.0,
-14.56618233199804,-68.3213689337102,0.0,
-14.56618233199804,-68.31238578086902,0.9118774,
-14.56618233199804,-68.30340262802783,0.92121214,
-14.56618233199804,-68.29441947518663,0.46153846,
-14.56618233199804,-68.24052055813945,0.0,
-14.56618233199804,-68.23153740529825,0.0,
-14.56618233199804,-68.22255425245706,0.0,
-14.56618233199804,-68.21357109961586,0.0,
-14.56618233199804,-68.1596721825687,0.0,
-14.56618233199804,-68.1506890297275,0.0,
-14.56618233199804,-68.13272272404511,0.0,
-14.56618233199804,-68.09679011268032,0.33333334,
-14.56618233199804,-68.08780695983914,0.0,
-14.56618233199804,-68.06984065415675,0.0,
-14.56618233199804,-68.06085750131555,0.0,
-14.56618233199804,-68.04289119563316,1.0,
-14.56618233199804,-68.02492488995077,0.0,
-14.56618233199804,-68.01594173710957,0.71428573,
-14.56618233199804,-68.00695858426838,0.0,
-14.56618233199804,-67.98899227858598,1.0,
-14.56618233199804,-67.98000912574479,0.98123145,
-14.56618233199804,-67.9710259729036,0.9662028,
-14.56618233199804,-67.96204282006241,1.0,
-14.56618233199804,-67.95305966722121,0.916955,
-14.56618233199804,-67.94407651438001,0.4,
-14.56618233199804,-67.92611020869762,0.0,
-14.56618233199804,-67.90814390301523,0.0,
-14.56618233199804,-67.89916075017403,0.0,
-14.56618233199804,-67.88119444449164,0.0,
-14.56618233199804,-67.87221129165044,0.0,
-14.56618233199804,-67.81831237460328,0.0,
-14.56618233199804,-67.80932922176208,0.0,
-14.575165484839236,-68.3213689337102,0.0,
-14.575165484839236,-68.31238578086902,0.9357798,
-14.575165484839236,-68.30340262802783,0.25,
-14.575165484839236,-68.28543632234543,0.0,
-14.575165484839236,-68.27645316950424,0.0,
-14.575165484839236,-68.26747001666304,0.0,
-14.575165484839236,-68.24052055813945,0.0,
-14.575165484839236,-68.23153740529825,0.0,
-14.575165484839236,-68.21357109961586,0.0,
-14.575165484839236,-68.19560479393348,0.0,
-14.575165484839236,-68.1596721825687,0.0,
-14.575165484839236,-68.1506890297275,0.0,
-14.575165484839236,-68.08780695983914,0.0,
-14.575165484839236,-68.07882380699795,0.0,
-14.575165484839236,-68.06085750131555,0.0,
-14.575165484839236,-68.01594173710957,0.0,
-14.575165484839236,-68.00695858426838,0.0,
-14.575165484839236,-67.99797543142718,0.22222222,
-14.575165484839236,-67.98899227858598,1.0,
-14.575165484839236,-67.98000912574479,0.9363017,
-14.575165484839236,-67.9710259729036,0.9479866,
-14.575165484839236,-67.96204282006241,1.0,
-14.575165484839236,-67.95305966722121,0.5,
-14.575165484839236,-67.94407651438001,0.0,
-14.575165484839236,-67.93509336153882,0.0,
-14.575165484839236,-67.92611020869762,0.0,
-14.575165484839236,-67.90814390301523,0.93442625,
-14.575165484839236,-67.88119444449164,0.0,
-14.575165484839236,-67.80932922176208,1.0,
-14.575165484839236,-67.80034606892089,1.0,
-14.575165484839236,-67.7733966103973,0.0,
-14.584148637680432,-68.3213689337102,0.0,
-14.584148637680432,-68.31238578086902,0.0,
-14.584148637680432,-68.30340262802783,0.0,
-14.584148637680432,-68.29441947518663,0.0,
-14.584148637680432,-68.28543632234543,0.0,
-14.584148637680432,-68.27645316950424,1.0,
-14.584148637680432,-68.26747001666304,1.0,
