basis,country,elevation,gbif_id,institution,lat,lon,precip_mm,temp_c,year,group,PC1,PC2
MACHINE_OBSERVATION,Colombia,2454.129150390625,5284167627.0,Fundación Humedales (Fund. Humedales),5.10125,-73.318276,1537,15.300000190734863,2025.0,occurrence,-1.512617620965042,0.055203384298627305
MACHINE_OBSERVATION,Colombia,2558.13330078125,5284168921.0,Fundación Humedales (Fund. Humedales),5.139539,-73.42682,1202,15.5,2025.0,occurrence,-1.6410580970077533,-0.39275133110246674
MACHINE_OBSERVATION,Colombia,2558.13330078125,5284168985.0,Fundación Humedales (Fund. Humedales),5.140557,-73.425074,1202,15.5,2025.0,occurrence,-1.6410580970077533,-0.39275133110246674
MACHINE_OBSERVATION,Colombia,2451.6943359375,5284169013.0,Fundación Humedales (Fund. Humedales),5.253965,-73.338432,1159,15.0,2025.0,occurrence,-1.6532233490057877,-0.4534132597060627
HUMAN_OBSERVATION,Brazil,191.8388671875,4946690851.0,iNaturalist,-6.342725,-37.071963,703,26.600000381469727,2024.0,occurrence,1.6169714944713367,-1.7050673220073278
HUMAN_OBSERVATION,Brazil,286.5024719238281,4528412506.0,iNaturalist,-5.75009,-36.090512,483,24.700000762939453,2024.0,occurrence,1.2019089864213175,-1.941748609029983
MACHINE_OBSERVATION,Colombia,2597.791015625,4974387470.0,Fundación Humedales (Fund. Humedales),5.112405,-73.302482,1573,15.399999618530272,2024.0,occurrence,-1.590102155562823,0.12219277026304455
HUMAN_OBSERVATION,Brazil,86.9602279663086,5209558589.0,Prima_Ambiental,-5.499488,-37.046637,670,27.299999237060547,2024.0,occurrence,1.790552798038003,-1.783597793776183
HUMAN_OBSERVATION,Brazil,22.212451934814453,5209559355.0,Prima_Ambiental,-5.546633,-37.042458,652,27.700000762939453,2024.0,occurrence,1.8933812453431942,-1.8279883320450119
HUMAN_OBSERVATION,Brazil,98.0503387451172,5209597372.0,Prima_Ambiental,-5.503461,-37.069984,670,27.299999237060547,2024.0,occurrence,1.7826779760899119,-1.7820174041753643
HUMAN_OBSERVATION,Brazil,116.99707794189452,5209619435.0,Prima_Ambiental,-5.613918,-37.045041,679,27.100000381469727,2024.0,occurrence,1.7407983420529212,-1.7617356133101143
HUMAN_OBSERVATION,Brazil,104.1376495361328,5209627776.0,Prima_Ambiental,-5.595134,-37.024664,676,27.200000762939453,2024.0,occurrence,1.764524639204693,-1.7703106238728183
MACHINE_OBSERVATION,Colombia,2598.16650390625,6258269925.0,Empresas Públicas de Medellín E.S.P. (EPM),5.859177,-75.357043,2765,15.0,2024.0,occurrence,-1.3482624382621282,1.7606543660904692
HUMAN_OBSERVATION,Brazil,57.47187805175781,5209632258.0,Prima_Ambiental,-5.51147,-37.052769,663,27.5,2024.0,occurrence,1.840427369459214,-1.8026506098505313
MACHINE_OBSERVATION,Colombia,2441.967529296875,6258260873.0,Empresas Públicas de Medellín E.S.P. (EPM),5.94494,-75.36594,2475,14.899999618530272,2024.0,occurrence,-1.3265567523319295,1.345009512289575
HUMAN_OBSERVATION,Brazil,583.3145751953125,4607194804.0,iNaturalist,-6.286403,-36.320533,656,22.600000381469727,2024.0,occurrence,0.712664825158508,-1.6076407711653726
HUMAN_OBSERVATION,Brazil,213.87188720703125,4852415101.0,iNaturalist,-5.697656,-36.128922,470,24.799999237060547,2024.0,occurrence,1.2655305604315008,-1.9724974778957316
HUMAN_OBSERVATION,Brazil,390.8422546386719,4872342688.0,iNaturalist,-11.542156,-39.257284,572,22.5,2024.0,occurrence,0.8125851664186344,-1.747135864937668
HUMAN_OBSERVATION,Brazil,447.38128662109375,4872513766.0,iNaturalist,-11.569943,-39.289941,585,22.299999237060547,2024.0,occurrence,0.7450304515005519,-1.7160344540623755
MACHINE_OBSERVATION,Colombia,3270.8935546875,4894231302.0,Alcaldía de Sesquilé,4.963898,-73.729625,1390,9.899999618530272,2024.0,occurrence,-2.9594028692969476,0.11371128220874978
MACHINE_OBSERVATION,Colombia,2648.70166015625,6258266744.0,Empresas Públicas de Medellín E.S.P. (EPM),5.86342,-75.38799,2331,13.800000190734863,2024.0,occurrence,-1.678972332155868,1.2069215199046086
MACHINE_OBSERVATION,Colombia,2526.519775390625,6258277149.0,Empresas Públicas de Medellín E.S.P. (EPM),5.97825,-75.40576,2315,14.5,2024.0,occurrence,-1.4887752185144887,1.1491408692781417
HUMAN_OBSERVATION,Brazil,329.9325256347656,4872279428.0,iNaturalist,-11.532018,-39.348427,541,22.799999237060547,2024.0,occurrence,0.8940184964882245,-1.8060869381744264
HUMAN_OBSERVATION,Brazil,365.2951049804688,4935920244.0,iNaturalist,-13.049081,-41.108951,743,23.799999237060547,2024.0,occurrence,1.0739377533243721,-1.5516472313410394
MACHINE_OBSERVATION,Colombia,2608.4287109375,5141411306.0,Alcaldía de Envigado,6.19059,-75.495406,1975,14.699999809265137,2024.0,occurrence,-1.6027996599857774,0.6912093605575479
MACHINE_OBSERVATION,Colombia,2218.796875,5141411970.0,Alcaldía de Envigado,6.119745,-75.56493,1986,16.5,2024.0,occurrence,-1.0468679761746988,0.6030862114401061
MACHINE_OBSERVATION,Colombia,2118.788330078125,5141412432.0,Alcaldía de Envigado,6.129689,-75.591441,2089,17.0,2024.0,occurrence,-0.8728303167887137,0.716265996576535
MACHINE_OBSERVATION,Colombia,2517.91552734375,5141412884.0,Alcaldía de Envigado,6.163712,-75.496486,1942,15.399999618530272,2024.0,occurrence,-1.4394187757928878,0.614726004216985
HUMAN_OBSERVATION,Brazil,106.5544891357422,5209564048.0,Prima_Ambiental,-5.491162,-37.05243,673,27.200000762939453,2024.0,occurrence,1.762044550455421,-1.7740630903610353
HUMAN_OBSERVATION,Brazil,22.212451934814453,5209584918.0,Prima_Ambiental,-5.543814,-37.040184,652,27.700000762939453,2024.0,occurrence,1.8933812453431942,-1.8279883320450119
HUMAN_OBSERVATION,Brazil,52.48576354980469,5209611662.0,Prima_Ambiental,-5.565302,-37.044724,656,27.600000381469727,2024.0,occurrence,1.857544416575098,-1.8155661408853394
HUMAN_OBSERVATION,Brazil,41.63979721069336,5209613444.0,Prima_Ambiental,-5.543296,-37.015029,653,27.799999237060547,2024.0,occurrence,1.8951997836108787,-1.826499782423057
HUMAN_OBSERVATION,Brazil,116.99707794189452,5209615240.0,Prima_Ambiental,-5.613773,-37.042389,679,27.100000381469727,2024.0,occurrence,1.7407983420529212,-1.7617356133101143
HUMAN_OBSERVATION,Brazil,22.212451934814453,5209616703.0,Prima_Ambiental,-5.542706,-37.044203,652,27.700000762939453,2024.0,occurrence,1.8933812453431942,-1.8279883320450119
HUMAN_OBSERVATION,Brazil,88.37174987792969,5209619177.0,Prima_Ambiental,-5.586425,-37.031958,668,27.399999618530277,2024.0,occurrence,1.804400284916161,-1.7887735055131124
HUMAN_OBSERVATION,Brazil,81.86024475097656,5209620083.0,Prima_Ambiental,-5.576074,-37.024168,663,27.600000381469727,2024.0,occurrence,1.8384688486100402,-1.8018207688895864
HUMAN_OBSERVATION,Brazil,102.39300537109376,5209622206.0,Prima_Ambiental,-5.625338,-37.039913,681,27.200000762939453,2024.0,occurrence,1.7670367173190824,-1.7637311153968995
HUMAN_OBSERVATION,Brazil,22.212451934814453,5209627807.0,Prima_Ambiental,-5.549156,-37.042567,652,27.700000762939453,2024.0,occurrence,1.8933812453431942,-1.8279883320450119
HUMAN_OBSERVATION,Brazil,842.7384033203125,4936943577.0,iNaturalist,-13.141603,-41.177418,916,21.0,2024.0,occurrence,0.34891877617752765,-1.1732794935245583
HUMAN_OBSERVATION,Brazil,725.429443359375,4937245936.0,iNaturalist,-13.198827,-41.146837,860,21.799999237060547,2024.0,occurrence,0.5408286854477092,-1.2876363379199587
HUMAN_OBSERVATION,Brazil,285.3568725585937,4945633753.0,iNaturalist,-7.172994,-48.051074,1815,25.700000762939453,2024.0,occurrence,1.6955058954737783,-0.14935456193999366
MACHINE_OBSERVATION,Colombia,3008.4248046875,6361677851.0,Corporación Autónoma Regional de Cundinamarca (CAR),4.95397,-73.612968,1593,11.199999809265137,2024.0,occurrence,-2.521668996287074,0.3191375385512424
