clear_fraction,lat,lon,.geo
0.26767677,-15.680093284306247,-68.44713307348694,
0.46969697,-15.680093284306247,-68.43814992064574,
0.46717173,-15.680093284306247,-68.42916676780456,
0.44191918,-15.680093284306247,-68.42018361496336,
0.44191918,-15.680093284306247,-68.41120046212217,
0.4368687,-15.680093284306247,-68.40221730928097,
0.37121212,-15.680093284306247,-68.39323415643977,
0.21717171,-15.680093284306247,-68.38425100359858,
0.15404041,-15.680093284306247,-68.37526785075738,
0.15656565,-15.680093284306247,-68.36628469791619,
0.2020202,-15.680093284306247,-68.35730154507499,
0.3459596,-15.680093284306247,-68.3483183922338,
0.46717173,-15.680093284306247,-68.3393352393926,
0.44949496,-15.680093284306247,-68.3303520865514,
0.4227848,-15.689076437147444,-68.44713307348694,
0.3164557,-15.689076437147444,-68.43814992064574,
0.278481,-15.689076437147444,-68.42916676780456,
0.24556962,-15.689076437147444,-68.42018361496336,
0.24242425,-15.689076437147444,-68.41120046212217,
0.24494949,-15.689076437147444,-68.40221730928097,
0.23737374,-15.689076437147444,-68.39323415643977,
0.10606061,-15.689076437147444,-68.38425100359858,
0.116161615,-15.689076437147444,-68.37526785075738,
0.25757575,-15.689076437147444,-68.36628469791619,
0.3181818,-15.689076437147444,-68.35730154507499,
0.4520202,-15.689076437147444,-68.3483183922338,
0.45959595,-15.689076437147444,-68.3393352393926,
0.32070708,-15.689076437147444,-68.3303520865514,
0.35189873,-15.698059589988638,-68.44713307348694,
0.21012658,-15.698059589988638,-68.43814992064574,
0.2050633,-15.698059589988638,-68.42916676780456,
0.16455697,-15.698059589988638,-68.42018361496336,
0.20253165,-15.698059589988638,-68.41120046212217,
0.19240506,-15.698059589988638,-68.40221730928097,
0.1443038,-15.698059589988638,-68.39323415643977,
0.12626262,-15.698059589988638,-68.38425100359858,
0.16666667,-15.698059589988638,-68.37526785075738,
0.30808082,-15.698059589988638,-68.36628469791619,
0.39646465,-15.698059589988638,-68.35730154507499,
0.46464646,-15.698059589988638,-68.3483183922338,
0.4368687,-15.698059589988638,-68.3393352393926,
0.2550505,-15.698059589988638,-68.3303520865514,
0.22531645,-15.707042742829834,-68.44713307348694,
0.22278482,-15.707042742829834,-68.43814992064574,
0.20253165,-15.707042742829834,-68.42916676780456,
0.17721519,-15.707042742829834,-68.42018361496336,
0.20759493,-15.707042742829834,-68.41120046212217,
0.1721519,-15.707042742829834,-68.40221730928097,
0.1721519,-15.707042742829834,-68.39323415643977,
0.19493671,-15.707042742829834,-68.38425100359858,
0.26835442,-15.707042742829834,-68.37526785075738,
0.45316455,-15.707042742829834,-68.36628469791619,
0.51392406,-15.707042742829834,-68.35730154507499,
0.443038,-15.707042742829834,-68.3483183922338,
0.3838384,-15.707042742829834,-68.3393352393926,
0.18939394,-15.707042742829834,-68.3303520865514,
0.24810126,-15.716025895671027,-68.42916676780456,
0.19746836,-15.716025895671027,-68.42018361496336,
0.19493671,-15.716025895671027,-68.41120046212217,
0.2050633,-15.716025895671027,-68.40221730928097,
0.17721519,-15.716025895671027,-68.39323415643977,
0.25822785,-15.716025895671027,-68.38425100359858,
0.32405064,-15.716025895671027,-68.37526785075738,
0.49620253,-15.716025895671027,-68.36628469791619,
0.49873418,-15.716025895671027,-68.35730154507499,
0.36962026,-15.716025895671027,-68.3483183922338,
0.31392404,-15.716025895671027,-68.3393352393926,
0.18227848,-15.716025895671027,-68.3303520865514,
0.21265823,-15.725009048512224,-68.41120046212217,
0.17974684,-15.725009048512224,-68.40221730928097,
0.16202532,-15.725009048512224,-68.39323415643977,
